"id" "day" "Dose" "LOGTV"
"460" 28 -14 3 3.01225317715464
"461" 28 -12 3 3.01225317715464
"462" 28 -9 3 3.65341919939505
"463" 28 -6 3 4.05197394799456
"464" 28 -2 3 4.52053597555778
"465" 28 0 3 4.75697939186316
"466" 28 2 3 4.69313997023496
"467" 28 5 3 5.14087945306896
"468" 28 7 3 4.36655474446766
"469" 28 9 3 5.09169471883447
"470" 28 12 3 5.32292073857536
"471" 28 14 3 5.6490400534832
"472" 28 16 3 5.54185160750998
"473" 28 20 3 5.79670016270308
"474" 28 23 3 6.05447554809307
"475" 28 26 3 5.95942112719418
"476" 28 28 3 6.29693757542769
"477" 29 -14 3 2.40405551499239
"478" 29 -12 3 1.86904309908429
"479" 29 -9 3 3.19999789158565
"480" 29 -6 3 3.28573551234557
"481" 29 -2 3 3.83732268253355
"482" 29 0 3 3.5867415555388
"483" 29 2 3 4.14878172970091
"484" 29 5 3 4.52053597555778
"485" 29 7 3 4.4065571150909
"486" 29 9 3 4.6601716101568
"487" 29 12 3 5.04084239132095
"488" 29 14 3 5.27943943326548
"489" 29 16 3 5.21175878034478
"490" 29 20 3 5.34419769106329
"491" 29 23 3 5.90227135784578
"492" 29 26 3 6.0675760680462
"493" 29 28 3 6.46613081664571
"494" 30 -14 3 2.90876386992421
"495" 30 -12 3 3.19999789158565
"496" 30 -9 3 4.28319996773544
"497" 30 -6 3 4.48349705667223
"498" 30 -2 3 4.6601716101568
"499" 30 0 3 5.18850250054083
"500" 30 2 3 5.0664840413599
"501" 30 5 3 5.57843878719622
"502" 30 7 3 5.34419769106329
"503" 30 9 3 5.7164671352766
"504" 30 12 3 5.88763709542773
"505" 30 14 3 6.19264848145477
"506" 30 16 3 6.35188877519736
"507" 30 20 3 6.78071161311881
"508" 30 23 3 7.14592558303974
"509" 30 26 3 7.2203209947488
"510" 30 28 3 7.36438556827876
"511" 31 -14 5 3.36683634425098
"512" 31 -12 5 3.89393317450782
"513" 31 -9 5 4.23971866242556
"514" 31 -6 5 4.48349705667223
"515" 31 -2 5 4.9056157458295
"516" 31 0 5 5.18850250054083
"517" 31 2 5 5.69989238099672
"518" 31 5 5 5.44627788593082
"519" 31 7 5 5.25721680458777
"520" 31 9 5 5.04084239132095
"521" 31 12 5 5.42641004580579
"522" 31 14 5 5.48524111553571
"523" 31 16 5 5.87285865076321
"524" 31 20 5 6.35188877519736
"525" 31 23 5 6.48599865677074
"526" 31 26 5 6.11886311516862
"527" 31 28 5 6.5815723783499
"528" 31 30 5 6.22822327138075
"529" 31 33 5 7.29120032202461
"530" 32 -14 5 2.79760191169363
"531" 32 -12 5 3.36683634425098
"532" 32 -9 5 3.44377628583231
"533" 32 -6 5 4.28319996773544
"534" 32 -2 5 4.48349705667223
"535" 32 0 5 4.75697939186316
"536" 32 2 5 5.36517705402541
"537" 32 5 5 5.30133763239721
"538" 32 7 5 4.98820541160405
"539" 32 9 5 5.14087945306896
"540" 32 12 5 5.14087945306896
"541" 32 14 5 5.46588600828185
"542" 32 16 5 5.44627788593082
"543" 32 20 5 6.08056316216087
"544" 32 23 5 6.39444482089118
"545" 32 26 5 6.21645850518921
"546" 32 28 5 6.63612384460621
"547" 32 30 5 6.919986844064
"548" 32 33 5 7.20817517939987
"549" 33 -14 5 2.24601474150565
"550" 33 -12 5 2.67753785018332
"551" 33 -9 5 3.44377628583231
"552" 33 -6 5 3.19999789158565
"553" 33 -2 5 4.10115868222904
"554" 33 0 5 4.69313997023496
"555" 33 2 5 4.93365394534773
"556" 33 5 5 5.09169471883447
"557" 33 7 5 4.75697939186316
"558" 33 9 5 5.27943943326548
"559" 33 12 5 5.23465998854096
"560" 33 14 5 5.69989238099672
"561" 33 16 5 5.76512004890633
"562" 33 20 5 6.30809004315897
"563" 33 23 5 6.46613081664571
"564" 33 26 5 6.52496188637563
"565" 33 28 5 6.85967721334694
"566" 33 30 5 7.20206519131841
"567" 33 33 5 7.28541996805063
"568" 34 -14 5 1.6378170793434
"569" 34 -12 5 3.10906095886099
"570" 34 -9 5 3.10906095886099
"571" 34 -6 5 3.65341919939505
"572" 34 -2 5 4.32545628318549
"573" 34 0 5 4.59197804904167
"574" 34 2 5 4.69313997023496
"575" 34 5 5 5.14087945306896
"576" 34 7 5 4.98820541160405
"577" 34 9 5 5.21175878034478
"578" 34 12 5 5.40627551530758
"579" 34 14 5 5.59640307376629
"580" 34 16 5 5.6141547602368
"581" 34 20 5 5.88763709542773
"582" 34 23 5 6.15620944260121
"583" 34 26 5 6.10620481219982
"584" 34 28 5 6.43582675566943
"585" 34 30 5 6.34105840323713
"586" 34 33 5 6.78071161311881
"587" 35 -14 5 2.79760191169363
"588" 35 -12 5 3.01225317715464
"589" 35 -9 5 3.19999789158565
"590" 35 -6 5 3.5867415555388
"591" 35 -2 5 4.62646232637871
"592" 35 0 5 4.87704345337346
"593" 35 2 5 5.0664840413599
"594" 35 5 5 4.96117765335003
"595" 35 7 5 5.09169471883447
"596" 35 9 5 5.21175878034478
"597" 35 12 5 5.11648867176129
"598" 35 14 5 5.6141547602368
"599" 35 16 5 5.85793315448346
"600" 35 20 5 6.42558780806383
"601" 35 23 5 6.61815955803614
"602" 35 26 5 6.78879788607112
"603" 35 28 5 6.93469284420893
